     1 Ceres             1984-11-13T04:43:01  3.4  46.781  -8.657 933.0 848.0  0.110  0.076  3.340 B 0.0936  3.73 0.0653 3 e
     2 Pallas            1978-05-29T05:25:00 14.3 254.929  48.451 544.0 498.0  0.160  0.087  4.040 B 0.1450  4.37 0.1066 3 e
     2 Pallas            1983-05-29T04:57:42 15.4 293.711  43.351 522.0 498.0  0.160  0.087  4.130 B 0.1450  4.46 0.1067 4 e
     3 Juno              1979-12-11T09:10:30 18.6 117.719 -20.458 269.0 234.0  0.240  0.220  5.290 B 0.1870  5.61 0.1390 4 e
     4 Vesta             1991-01-04T00:15:48 19.1  44.771  -6.108 503.0 468.0  0.420  0.350  3.190 B 0.3700  3.49 0.2800 3 e
     8 Flora             2004-10-29T07:17:36 30.1 117.245  -3.047 160.8 135.9  0.240  0.210  6.350 B 0.1970  6.70 0.1430 3 g
    27 Euterpe           1993-10-09T06:59:30  5.0   5.224  -2.847  96.9 -99.9 -9.999  0.220  7.000 W 0.2980  7.35 0.2160 1 e
    39 Laetitia          1998-03-21T19:01:30 20.6  91.625  -7.887 177.9 149.5  0.290  0.250  5.890 B 0.2460  6.33 0.1640 3 e
    41 Daphne            1999-07-02T22:44:00 20.5 241.742  26.729 185.9 174.0  0.083  0.059  7.310 B 0.0609  7.51 0.0507 3 g
    47 Aglaja            1984-09-06T02:24:54  1.9 348.158  -2.345 138.0 127.0  0.098  0.085  7.980 B 0.0596  8.20 0.0487 4 e
    51 Nemausa           1983-09-11T07:01:53  1.8 352.425   1.424 142.6 147.9  0.093  0.066  7.380 B 0.0970  7.72 0.0709 3 e
    64 Angelina          2004-07-03T11:19:03 19.3  38.130   1.105  50.3  60.0  0.430  0.660  7.920 W 0.4740  8.17 0.3760 2 g
    78 Diana             1980-09-04T11:13:48 19.4  41.658   8.748 103.9 120.6  0.071 -9.999  8.200 B 0.0859  8.36 0.0742 4 g
    85 Io                1995-12-10T00:38:12 10.1  52.218 -11.490 163.7 154.8  0.067  0.091  7.710 B 0.0543  7.87 0.0469 3 g
    85 Io                2004-12-12T21:05:30  7.1  94.287 -16.475 175.9 154.8  0.067  0.091  7.650 W 0.0497  7.81 0.0429 2 g
    94 Aurora            2001-10-12T13:56:14 17.6 134.018   6.710 187.5 204.9  0.040 -9.999  7.630 W 0.0446  7.83 0.0371 2 e
   105 Artemis           1997-12-04T12:06:54 15.0 107.487 -30.933 103.7 119.1  0.047 -9.999  8.860 W 0.0470  9.02 0.0406 2 e
   106 Dione             1983-01-19T18:59:42  2.2 122.991   5.899 140.3 146.6  0.089 -9.999  7.660 B 0.0775  7.86 0.0645 3 g
   109 Felicitas         2003-03-29T11:08:10 27.5  79.148   7.327  88.2  89.4  0.070 -9.999  8.960 B 0.0592  9.12 0.0511 3 g
   124 Alkeste           2003-06-24T10:35:50 24.0 177.176   0.695  65.4  76.4  0.170 -9.999  8.090 W 0.2400  8.45 0.1720 1 g
   129 Antigone          2001-09-09T04:18:01  3.3 345.140  -9.323 129.5 113.0  0.160  0.160  6.900 W 0.1830  7.25 0.1320 2 g
   134 Sophrosyne        1980-11-24T04:16:42 13.1  35.035  16.858 112.2 123.3  0.036 -9.999  8.890 B 0.0390  9.04 0.0339 4 g
   139 Juewa             1988-04-21T18:33:23  7.0 196.934  -7.028 160.2 156.6  0.056  0.075  8.100 W 0.0396  8.30 0.0330 2 g
   141 Lumen             2005-01-05T12:50:27  7.5  91.518  13.113 137.1 131.0  0.054  0.063  8.200 W 0.0493  8.61 0.0338 1 g
   208 Lacrimosa         2003-12-31T07:02:01 11.0 132.627   2.247  44.3  41.3  0.270 -9.999  9.070 W 0.2120  9.42 0.1540 2 g
   210 Isabella          2003-04-21T10:17:52  4.0 223.160  -0.854  66.8  86.7  0.044 -9.999  9.330 W 0.0733  9.74 0.0503 1 g
   216 Kleopatra         1980-10-10T07:00:00 12.7 351.951  12.465 104.3 135.0  0.120  0.100  7.450 B 0.1700  7.80 0.1230 3 g
   230 Athamantis        1991-01-21T04:28:20 20.1 180.833 -12.455 101.8 109.0  0.170  0.150  7.370 W 0.1920  7.72 0.1390 2 g
   238 Hypatia           2001-03-06T07:08:54  3.8 177.342  -3.373 146.5 148.5  0.043 -9.999  8.120 B 0.0465  8.28 0.0401 3 g
   238 Hypatia           2005-02-23T08:42:55 19.3  85.182 -14.842 145.3 148.5  0.043 -9.999  8.150 W 0.0460  8.31 0.0397 2 g
   248 Lameia            1998-06-27T21:04:38  9.7 298.406   4.603  54.0  48.7  0.062 -9.999 10.210 W 0.0500 10.62 0.0343 1 g
   306 Unitas            2004-07-06T14:48:57 14.7 255.536  10.627  51.6  46.7  0.210 -9.999  8.960 W 0.1730  9.31 0.1250 1 g
   308 Polyxo            2000-01-10T06:41:17 13.7 152.624  -4.139 144.4 140.7  0.048 -9.999  8.170 W 0.0457  8.58 0.0313 1 g
   308 Polyxo            2004-11-16T05:16:29 17.0 177.610  -1.383 117.1 140.7  0.048 -9.999  8.170 W 0.0695  8.58 0.0476 1 g
   324 Bamberga          1987-12-08T12:36:00 11.7  96.921  17.004 235.5 229.4  0.063  0.083  7.000 B 0.0505  7.16 0.0435 3 g
   334 Chicago           2002-12-24T09:58:23  5.8 116.557  -2.053 174.1 158.6  0.062  0.095  7.950 W 0.0385  8.11 0.0333 2 g
   345 Tercidina         2002-09-17T00:45:08 25.2  64.019  -1.365  99.0  94.1  0.065  0.070  8.810 W 0.0540  9.16 0.0391 1 e
   350 Ornamenta         2002-11-14T07:50:16 10.6  76.821 -15.685  99.5 118.4  0.057 -9.999  8.550 W 0.0679  8.71 0.0586 1 e
   381 Myrrha            1991-01-13T12:59:54  4.5  98.082  -6.743 129.1 120.6  0.061 -9.999  8.250 W 0.0531  8.66 0.0364 1 e
   386 Siegena           1999-10-25T01:55:32 17.5 271.703  15.336 174.0 165.0  0.069 -9.999  7.490 W 0.0589  7.65 0.0508 2 g
   404 Arsinoe           2003-02-21T07:43:57 11.1 164.784  22.682  98.7  97.7  0.046 -9.999  9.010 W 0.0451  9.42 0.0309 1 g
   420 Bertholda         2003-08-26T21:43:38  5.9 313.795   8.867 144.0 141.3  0.042 -9.999  8.310 W 0.0404  8.72 0.0277 1 e
   431 Nephele           2002-11-03T01:48:50  7.0  61.806  -2.375  68.6  95.0  0.064 -9.999  8.720 W 0.1220  9.13 0.0839 1 g
   444 Gyptis            1994-01-08T13:28:00 21.5  37.849  -8.893 172.4 163.1  0.049 -9.999  8.000 W 0.0375  8.16 0.0324 2 g
   471 Papagena          1987-01-24T23:55:58 13.9  87.716   7.022 128.3 134.2  0.200  0.260  6.730 W 0.2180  7.14 0.1490 1 e
   476 Hedwig            2000-11-07T19:48:34 23.2 314.162   9.227  98.6 116.8  0.049 -9.999  8.550 W 0.0691  8.96 0.0474 1 g
   498 Tokio             2004-02-17T16:35:25 14.3 199.168  12.277  77.9  81.8  0.069 -9.999  8.950 W 0.0765  9.36 0.0525 1 g
   522 Helga             2004-06-30T07:07:05  3.6 291.276   1.013  83.7 101.2  0.039 -9.999  9.120 W 0.0567  9.53 0.0388 1 g
   566 Stereoskopia      2004-03-23T02:46:47  6.2 206.150   5.662 134.0 168.2  0.038 -9.999  8.030 W 0.0604  8.44 0.0414 1 g
   568 Cheruskia         1999-10-24T07:55:16 23.3 104.847  -4.691  75.8  87.0  0.054 -9.999  9.100 W 0.0705  9.51 0.0483 1 g
   578 Happelia          2004-05-23T05:22:39  7.9 223.681  -3.877  69.1  69.3  0.077 -9.999  9.200 W 0.0774  9.61 0.0530 1 g
   704 Interamnia        1996-12-17T09:08:36 10.8  57.253  14.490 332.8 316.6  0.074  0.084  6.110 B 0.0574  6.27 0.0495 4 e
   704 Interamnia        2003-03-23T09:24:36 17.2 111.597  -9.906 326.1 316.6  0.074  0.084  6.060 W 0.0626  6.22 0.0540 2 e
   757 Portlandia        2003-12-07T23:00:30 25.9   1.711   0.938  36.7  32.1  0.140 -9.999  9.960 W 0.1360 10.12 0.1170 1 g
   791 Ani               2000-04-07T21:24:22 15.4 119.797   1.630  82.5 103.5  0.033 -9.999  9.250 W 0.0518  9.66 0.0355 1 g
   828 Lindemannia       1996-01-29T21:58:00  8.6 104.830  13.378  51.5  76.1  0.050 -9.999 10.330 W 0.0492 10.74 0.0337 1 g
   914 Palisana          2004-09-12T12:00:00 21.6  26.015  39.032  91.2  76.6  0.094 -9.999  8.760 W 0.0666  9.27 0.0416 1 g
   925 Alphonsina        2003-12-22T21:51:12  8.5  79.707  20.207  59.2  54.3  0.280 -9.999  8.410 W 0.2180  8.76 0.1580 1 g
   976 Benjamina         2003-07-19T08:42:08  7.9 271.868   6.273  65.0  80.5  0.056 -9.999  9.220 W 0.0857  9.63 0.0587 1 g
  1263 Varsavia          2003-07-18T06:04:01 19.9 201.382  28.053  44.2  49.3  0.046 -9.999 10.500 W 0.0571 10.91 0.0392 1 g
  1366 Piccolo           2003-04-28T05:03:33 10.4 185.349   2.035  29.9  27.6  0.150 -9.999 10.450 W 0.1310 10.80 0.0951 1 g
  1512 Oulu              2002-05-07T13:51:04  4.3 239.714  -6.574  65.0  82.7  0.037 -9.999  9.620 W 0.0594 10.03 0.0407 1 g
